,full_name,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
7829,Ritter H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7830,Renavand N,12,2,0.67,0.69,0.49,12,0.58,23,0.78,0.63,0.26,0.43,7,0.71,23,0.22,0.35,0.49
7831,Remmert J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7832,Reed W,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7833,Rojas L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7834,Ray R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7835,Raditschnigg M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7836,Rosa B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7837,Roger-Vasselin E,893,511,0.65,0.69,0.5,1483,0.59,2663,0.77,0.62,0.28,0.48,1419,0.37,2672,0.2,0.36,0.49
7838,Robert S,439,486,0.53,0.69,0.47,967,0.56,1386,0.69,0.58,0.28,0.51,760,0.4,1407,0.22,0.37,0.48
7839,Rea S,2,17,0.51,0.57,0.36,20,0.55,17,0.47,0.47,0.13,0.26,1,1.0,16,0.06,0.18,0.36
7840,Rettenmaier T,24,16,0.62,0.74,0.5,30,0.6,50,0.76,0.64,0.22,0.43,18,0.44,51,0.16,0.29,0.47
7841,Rollins V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7842,Recouderc L,54,33,0.53,0.68,0.5,141,0.58,203,0.71,0.59,0.22,0.45,90,0.33,205,0.15,0.32,0.46
7843,Ryderstedt M,128,47,0.61,0.71,0.52,123,0.65,205,0.79,0.64,0.25,0.44,90,0.33,207,0.14,0.32,0.48
7844,Rocha D,2,7,0.6,0.52,0.3,22,0.27,26,0.38,0.43,0.29,0.5,13,0.46,24,0.25,0.39,0.41
7845,Ruiz-Cadenas H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7846,Renard A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
