,full_name,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
0,Acuna R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
1,Abdullahi S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
2,Aerts N,4,13,0.61,0.7,0.53,19,0.74,28,0.82,0.63,0.28,0.45,11,0.36,29,0.14,0.34,0.49
3,Adams E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
4,Agenor R,643,394,0.64,0.65,0.48,1721,0.57,2468,0.7,0.59,0.3,0.51,1500,0.4,2466,0.25,0.38,0.49
5,Aguilera J,32,51,0.57,0.63,0.41,151,0.5,181,0.58,0.54,0.31,0.46,84,0.49,183,0.22,0.37,0.46
6,Albert M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7,Alciati M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
8,Akel R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
9,Alexander J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
10,Alfred L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
11,Allan T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
12,Ampon M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
13,Allgardh C,23,17,0.64,0.64,0.55,42,0.57,68,0.74,0.61,0.29,0.41,28,0.32,69,0.13,0.33,0.47
14,Amritraj A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
15,Amritraj V,0,0,0.71,0.41,0.5,8,0.25,9,0.33,0.44,0.37,0.59,8,0.38,9,0.33,0.42,0.43
16,Andrade JC,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
17,Andrews A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
18,Anger M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
19,Annacone P,82,66,0.55,0.71,0.46,92,0.62,133,0.74,0.6,0.25,0.5,47,0.4,131,0.15,0.34,0.48
20,Antonitsch A,538,405,0.55,0.7,0.49,924,0.6,1402,0.74,0.6,0.29,0.48,768,0.4,1417,0.22,0.37,0.49
21,Aprili C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
22,Arguello R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
23,Arias J,132,202,0.69,0.63,0.49,582,0.58,806,0.7,0.59,0.31,0.52,523,0.42,821,0.27,0.4,0.49
24,Armellini M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
25,Arrese J,248,493,0.72,0.62,0.48,1995,0.56,2780,0.68,0.58,0.34,0.54,2023,0.44,2801,0.32,0.42,0.5
26,Arraya P,126,98,0.61,0.65,0.48,283,0.55,425,0.7,0.59,0.31,0.47,242,0.42,428,0.24,0.38,0.48
27,Artaldi E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
28,Avendano J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
29,Azar R,120,207,0.69,0.62,0.44,594,0.55,757,0.65,0.56,0.28,0.5,414,0.4,772,0.22,0.36,0.46
30,Acioly R,6,13,0.7,0.68,0.45,7,0.43,21,0.81,0.61,0.33,0.44,16,0.25,20,0.2,0.36,0.49
31,Alvarez A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
32,Amaya V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
33,Ayala JC,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
34,Arenzon M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
35,Austin J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
36,Addison T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
37,Alvarez EL,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
38,Amaya G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
39,Anderson M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
40,Andrew J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
41,Ashe A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
42,Andrews J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
43,Aubone G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
44,Aldrich P,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
45,Anderson T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
46,Agudelo O,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
47,Ayala L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
48,Andersson B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
49,Andrews R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
50,Auroux G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
51,Agassi A,4082,2108,0.63,0.73,0.54,4764,0.65,10512,0.84,0.66,0.32,0.56,7679,0.43,10516,0.32,0.42,0.53
52,Andreev A,9,24,0.63,0.59,0.53,66,0.55,87,0.66,0.57,0.26,0.5,44,0.43,90,0.21,0.35,0.46
53,Ayala LA,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
54,Ajayi K,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
55,Alger S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
56,Arlozorov H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
57,Avis P,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
58,Unknown U,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
59,Appleton M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
60,Alvarez W,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
61,Arilla JL,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
62,Akbari MH,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
63,Alloo B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
64,Ayala J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
65,Allen M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
66,Anda T,3,4,0.61,0.55,0.44,9,0.44,12,0.58,0.51,0.29,0.48,4,1.0,12,0.33,0.36,0.44
67,Akbari T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
68,Altur JF,175,208,0.65,0.64,0.44,542,0.56,752,0.68,0.57,0.3,0.48,418,0.39,762,0.21,0.37,0.47
69,Amend E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
70,Antonas J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
71,Aberg B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
72,Albano P,20,52,0.49,0.68,0.37,84,0.52,93,0.57,0.52,0.32,0.51,61,0.38,95,0.24,0.4,0.46
73,Aparisi JL,4,6,0.68,0.57,0.5,26,0.54,31,0.61,0.55,0.35,0.45,16,0.5,33,0.24,0.38,0.46
74,Anderson A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
75,Anderson J,26,57,0.65,0.62,0.44,135,0.55,158,0.61,0.55,0.33,0.52,106,0.49,162,0.32,0.42,0.49
76,Aler I,9,5,0.59,0.74,0.44,14,0.79,16,0.81,0.62,0.27,0.46,10,0.3,15,0.2,0.37,0.5
77,Ali Z,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
78,Aramburu A,0,1,0.87,0.5,0.57,25,0.56,24,0.54,0.51,0.21,0.53,9,0.33,23,0.13,0.33,0.42
79,Andersson K,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
80,Apell J,507,308,0.62,0.7,0.49,741,0.58,1302,0.76,0.62,0.27,0.51,707,0.4,1330,0.21,0.37,0.49
81,Adams D,115,86,0.52,0.71,0.45,199,0.55,301,0.7,0.59,0.26,0.48,125,0.38,294,0.16,0.35,0.47
82,Ardinghi M,2,9,0.57,0.56,0.46,32,0.44,37,0.51,0.51,0.35,0.46,21,0.38,36,0.22,0.39,0.45
83,Alven J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
84,Arbanas J,7,4,0.55,0.68,0.41,9,0.44,15,0.67,0.56,0.14,0.4,1,1.0,15,0.07,0.26,0.43
85,Arriens C,208,147,0.58,0.67,0.47,497,0.56,723,0.7,0.59,0.31,0.5,429,0.44,713,0.26,0.39,0.49
86,Benfele Alvarez E,458,345,0.6,0.68,0.46,887,0.61,1308,0.74,0.59,0.29,0.48,685,0.4,1298,0.21,0.37,0.48
87,Adams C,751,410,0.64,0.7,0.51,1102,0.61,2057,0.79,0.63,0.27,0.48,1096,0.36,2040,0.19,0.36,0.5
88,Arthurs W,4375,1435,0.56,0.81,0.55,1366,0.67,3784,0.88,0.69,0.23,0.4,1234,0.3,3751,0.1,0.3,0.5
89,Alami K,1404,916,0.56,0.71,0.48,2288,0.58,3654,0.74,0.61,0.31,0.49,2196,0.39,3702,0.23,0.38,0.49
90,Alvarez R,0,4,0.66,0.47,0.43,9,0.44,10,0.5,0.46,0.29,0.52,4,0.75,10,0.3,0.39,0.43
91,Andriolo S,2,6,0.64,0.63,0.38,6,0.33,10,0.6,0.54,0.24,0.3,2,0.5,10,0.1,0.27,0.41
92,Avila X,1,4,0.6,0.64,0.44,8,0.38,13,0.62,0.56,0.35,0.42,12,0.33,14,0.29,0.38,0.47
93,Allen Y,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
94,Awopegba L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
95,Arnold P,39,27,0.6,0.67,0.46,84,0.61,115,0.71,0.59,0.25,0.48,50,0.4,115,0.17,0.34,0.47
96,Arazi H,1633,866,0.57,0.69,0.5,3146,0.59,4989,0.74,0.61,0.29,0.51,3011,0.4,5009,0.24,0.38,0.5
97,Arnold Ker L,129,230,0.6,0.67,0.43,440,0.59,592,0.69,0.57,0.29,0.52,345,0.44,591,0.26,0.39,0.48
98,Angelini P,0,5,0.42,0.43,0.56,6,0.33,9,0.56,0.51,0.24,0.44,4,0.25,9,0.11,0.31,0.41
99,Andersen T,4,3,0.44,0.78,0.46,4,0.25,10,0.7,0.6,0.09,0.45,1,1.0,10,0.1,0.23,0.42
100,Al-Khulaifi NG,2,11,0.5,0.38,0.24,12,0.08,14,0.21,0.31,0.24,0.17,1,1.0,14,0.07,0.21,0.26
101,Auffray C,1,30,0.53,0.58,0.4,74,0.51,70,0.49,0.49,0.32,0.49,42,0.5,73,0.29,0.38,0.44
102,Alonso J,483,561,0.55,0.68,0.48,896,0.57,1318,0.71,0.59,0.3,0.5,783,0.42,1313,0.25,0.38,0.49
103,Andersen JF,35,24,0.62,0.63,0.51,94,0.62,120,0.7,0.59,0.22,0.42,40,0.38,121,0.12,0.3,0.46
104,Andersson H,6,4,0.62,0.47,0.45,18,0.5,15,0.4,0.46,0.29,0.47,12,0.08,16,0.06,0.35,0.4
105,Allegro Y,72,71,0.54,0.72,0.47,97,0.63,139,0.74,0.61,0.26,0.46,60,0.42,143,0.17,0.34,0.47
106,Azzaro L,8,2,0.64,0.69,0.5,27,0.67,34,0.74,0.63,0.25,0.45,17,0.24,35,0.11,0.33,0.48
107,Adaktusson J,5,3,0.54,0.65,0.42,12,0.58,15,0.67,0.54,0.23,0.38,4,0.25,14,0.07,0.29,0.43
108,Allgauer F,5,3,0.67,0.78,0.2,7,0.71,9,0.78,0.59,0.16,0.31,0,0.0,10,0.0,0.25,0.42
109,Agaev E,3,4,0.52,0.57,0.29,6,0.17,7,0.29,0.43,0.13,0.44,0,0.0,7,0.0,0.27,0.35
110,Ayala D,9,3,0.47,0.83,0.42,3,0.33,10,0.8,0.61,0.09,0.2,0,0.0,10,0.0,0.15,0.41
111,Armando H,126,106,0.61,0.67,0.5,286,0.59,470,0.75,0.61,0.26,0.51,251,0.33,466,0.18,0.36,0.48
112,Arquez P,0,1,0.54,0.36,0.43,7,0.14,7,0.14,0.39,0.15,0.67,6,0.0,6,0.0,0.33,0.36
113,Aspelin S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
114,Aldi F,4,33,0.68,0.59,0.43,91,0.57,88,0.56,0.54,0.34,0.48,63,0.33,90,0.23,0.39,0.46
115,Ascione T,272,206,0.65,0.66,0.49,553,0.57,867,0.72,0.6,0.27,0.46,405,0.39,859,0.18,0.35,0.48
116,Alvarez D,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
117,Auckland J,35,9,0.61,0.75,0.59,11,0.73,35,0.91,0.69,0.24,0.51,13,0.38,34,0.15,0.34,0.52
118,Almeida C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
119,Ancic M,2956,849,0.61,0.76,0.52,1721,0.62,4042,0.84,0.66,0.3,0.49,2219,0.4,3989,0.22,0.37,0.52
120,Acasuso J,1950,991,0.54,0.72,0.51,2374,0.6,4181,0.78,0.62,0.29,0.51,2452,0.39,4210,0.23,0.37,0.5
121,Apostu-Efremov A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
122,Abel M,36,35,0.61,0.66,0.49,71,0.61,100,0.72,0.59,0.22,0.44,39,0.38,102,0.15,0.32,0.46
123,Ager J,4,10,0.5,0.5,0.39,19,0.37,20,0.4,0.45,0.34,0.48,15,0.4,21,0.29,0.38,0.41
124,Alves T,81,79,0.64,0.63,0.48,255,0.53,367,0.67,0.58,0.24,0.48,176,0.38,377,0.18,0.34,0.46
125,Acuna A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
126,Agazzi A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
127,Apey P,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
128,Abbott B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
129,Aguirre E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
130,Aguilar J,12,13,0.59,0.65,0.48,42,0.48,69,0.68,0.58,0.27,0.47,39,0.36,72,0.19,0.34,0.46
131,Albert-Ferrando M,2,0,0.8,0.57,0.58,6,0.67,9,0.78,0.58,0.23,0.48,6,0.0,10,0.0,0.33,0.44
132,An JS,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
133,Almagro N,5493,1668,0.58,0.75,0.53,3789,0.62,8229,0.82,0.66,0.29,0.5,4608,0.39,8185,0.22,0.37,0.51
134,Acheson J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
135,Anderson R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
136,Amritraj P,147,89,0.6,0.7,0.52,221,0.57,398,0.76,0.62,0.25,0.45,186,0.34,397,0.16,0.33,0.48
137,Alayli K,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
138,Aranguren JM,4,7,0.64,0.65,0.42,14,0.36,23,0.61,0.56,0.25,0.63,9,0.56,22,0.23,0.37,0.46
139,Alawadhi O,1,47,0.55,0.52,0.33,81,0.36,80,0.35,0.44,0.23,0.46,25,0.4,79,0.13,0.32,0.38
140,Al Jazzaf M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
141,Andreev I,2145,1146,0.62,0.7,0.52,2808,0.6,5529,0.79,0.64,0.3,0.48,3007,0.39,5534,0.21,0.37,0.5
142,Auradou M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
143,Amritraj S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
144,Alund M,55,38,0.62,0.66,0.52,159,0.64,219,0.74,0.61,0.31,0.44,107,0.36,227,0.17,0.35,0.48
145,Andrews G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
146,Allgood J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
147,Avoyer S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
148,Abid H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
149,Anao H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
150,Ghareeb A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
151,Al Nabhani K,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
152,Andujar P,637,1234,0.64,0.65,0.48,3140,0.57,4553,0.7,0.59,0.31,0.52,2900,0.4,4602,0.25,0.39,0.49
153,Angelinos T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
154,Abdulla M,0,6,0.45,0.64,0.37,5,0.2,8,0.5,0.49,0.15,0.42,1,0.0,8,0.0,0.27,0.38
155,Arnaboldi A,54,41,0.58,0.65,0.49,143,0.62,182,0.7,0.59,0.28,0.46,92,0.34,178,0.17,0.35,0.47
156,Arevalo R,5,6,0.69,0.65,0.59,17,0.71,24,0.79,0.63,0.32,0.3,9,0.33,23,0.13,0.31,0.48
157,El Alaoui A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
158,Adams B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
159,Anagnastopol VM,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
160,Anbar B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
161,Aubone R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
162,Suta-Wibawa A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
163,Al Nabhani M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
164,Atas O,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
165,Atas C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
166,Agafonov A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
167,Alcaide G,11,6,0.61,0.75,0.42,7,0.57,15,0.8,0.62,0.18,0.49,4,0.25,16,0.06,0.31,0.46
168,Amado JP,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
169,Adams J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
170,Anderson K,7683,1792,0.64,0.77,0.53,3096,0.66,7896,0.87,0.68,0.26,0.47,3510,0.36,7819,0.16,0.34,0.51
171,Anikanov I,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
172,Al Mahmoud A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
173,Alekseenko G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
174,Abdukhalikov S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
175,Agostinelli B,4,3,0.61,0.71,0.48,10,0.8,10,0.8,0.62,0.25,0.39,5,0.2,11,0.09,0.31,0.46
176,Alekseenko V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
177,Agniel A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
178,Andersen J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
179,Abdrabuh A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
180,Ast P,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
181,Abdal H,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
182,Aubone JY,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
183,Altuna T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
184,Arenas-Gualda I,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
185,Authom M,13,13,0.58,0.71,0.44,25,0.64,39,0.77,0.59,0.24,0.44,17,0.47,40,0.2,0.33,0.47
186,Atkinson I,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
187,Astorga M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
188,Armstrong M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
189,Alcorta-Olarra G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
190,Andrii B,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
191,Albot R,521,575,0.64,0.66,0.5,1513,0.57,2381,0.73,0.6,0.29,0.51,1457,0.37,2386,0.22,0.37,0.49
192,Androic T,3,5,0.51,0.59,0.47,16,0.44,22,0.59,0.53,0.19,0.5,12,0.08,22,0.05,0.31,0.43
193,Arevalo M,3,5,0.65,0.61,0.45,18,0.56,18,0.56,0.55,0.27,0.31,4,0.0,17,0.0,0.28,0.43
194,Arsenov D,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
195,Almeida M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
196,Andreozzi G,146,170,0.61,0.69,0.46,320,0.61,441,0.72,0.6,0.26,0.48,211,0.38,450,0.18,0.35,0.47
197,Janahi HA,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
198,Ademovic J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
199,Aboushalam O,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
200,Arguello F,36,58,0.62,0.63,0.45,127,0.46,189,0.63,0.56,0.28,0.41,72,0.39,189,0.15,0.33,0.45
